City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tasiilaq,GL,2020-10-05 18:49:13,65.61,-37.64,35.6,93,100,6.93
70,Moussoro,TD,2020-10-05 18:49:14,13.64,16.49,94.96,29,6,6.46
71,Esperance,AU,2020-10-05 18:49:14,-33.87,121.9,46.4,100,90,5.82
72,San Policarpo,PH,2020-10-05 18:49:14,12.18,125.51,79.29,85,71,4.56
73,Ngunguru,NZ,2020-10-05 18:49:14,-35.62,174.5,53.01,95,100,3.0
74,Valle De Angeles,HN,2020-10-05 18:49:14,14.15,-87.03,78.8,65,75,4.7
75,Culfa,AZ,2020-10-05 18:49:14,38.96,45.63,55.4,76,90,4.7
76,Kavieng,PG,2020-10-05 18:47:05,-2.57,150.8,82.18,76,100,13.62
77,Georgetown,MY,2020-10-05 18:46:58,5.41,100.34,78.8,88,20,2.24
78,Posse,BR,2020-10-05 18:49:15,-14.09,-46.37,96.82,13,0,12.28
79,Sao Paulo De Olivenca,BR,2020-10-05 18:47:14,-3.38,-68.87,94.32,42,50,2.82
80,Chapais,CA,2020-10-05 18:49:15,49.78,-74.85,48.2,51,40,11.41
81,Civitanova Marche,IT,2020-10-05 18:49:16,43.31,13.72,64.99,46,84,1.01
82,Aklavik,CA,2020-10-05 18:49:16,68.22,-135.01,37.4,86,90,11.41
83,Mataura,NZ,2020-10-05 18:49:16,-46.19,168.86,48.99,75,100,18.99
84,Buraydah,SA,2020-10-05 18:45:29,26.33,43.98,87.8,27,40,12.75
85,Albany,US,2020-10-05 18:48:44,42.6,-73.97,64.99,65,74,1.81
86,Coquimbo,CL,2020-10-05 18:47:27,-29.95,-71.34,60.8,59,100,13.87
87,Busselton,AU,2020-10-05 18:49:16,-33.65,115.33,48.99,55,100,8.23
88,Chuy,UY,2020-10-05 18:49:16,-33.7,-53.46,64.49,65,4,18.59
89,Tuktoyaktuk,CA,2020-10-05 18:47:16,69.45,-133.04,35.6,93,90,12.75
90,Arraial Do Cabo,BR,2020-10-05 18:47:09,-22.97,-42.03,77.0,78,75,19.46
91,Dikson,RU,2020-10-05 18:49:17,73.51,80.55,33.66,89,100,33.46
92,Torbay,CA,2020-10-05 18:49:17,47.67,-52.73,50.0,76,90,10.29
93,Hasaki,JP,2020-10-05 18:49:17,35.73,140.83,64.4,82,75,3.36
94,Muisne,EC,2020-10-05 18:49:17,0.6,-80.03,84.2,74,40,11.41
95,Bam,IR,2020-10-05 18:49:17,29.11,58.36,70.88,22,20,3.53
96,Pevek,RU,2020-10-05 18:49:17,69.7,170.31,28.56,91,77,13.71
97,De-Kastri,RU,2020-10-05 18:49:18,51.47,140.78,45.36,85,100,18.68
98,Mackay,AU,2020-10-05 18:49:18,-21.15,149.2,71.6,78,75,10.29
99,Wenling,CN,2020-10-05 18:49:18,28.37,121.36,70.0,79,100,11.79
100,Porgera,PG,2020-10-05 18:49:18,-5.47,143.2,37.96,100,76,1.12
101,Lahaina,US,2020-10-05 18:49:18,20.88,-156.68,82.4,65,20,11.41
102,Bengkulu,ID,2020-10-05 18:49:18,-3.8,102.27,76.15,89,36,11.05
103,Barrow,US,2020-10-05 18:49:18,71.29,-156.79,33.8,80,90,11.41
104,Ilulissat,GL,2020-10-05 18:49:18,69.22,-51.1,15.87,90,4,3.96
105,Lewisville,US,2020-10-05 18:47:54,33.05,-96.99,77.0,52,0,7.74
106,Hendek,TR,2020-10-05 18:49:19,40.8,30.75,66.2,88,0,2.24
107,Sitka,US,2020-10-05 18:49:19,57.05,-135.33,51.8,87,90,17.22
108,Havre-Saint-Pierre,CA,2020-10-05 18:47:49,50.23,-63.6,46.4,75,90,4.7
109,Vao,NC,2020-10-05 18:49:19,-22.67,167.48,69.85,81,2,5.01
110,Sao Joao Da Barra,BR,2020-10-05 18:47:40,-21.64,-41.05,77.0,78,75,23.04
111,Mozarlandia,BR,2020-10-05 18:49:19,-14.74,-50.57,108.63,8,0,8.55
112,Puerto Palomas,MX,2020-10-05 18:46:05,31.77,-107.62,80.6,19,1,4.12
113,Tocopilla,CL,2020-10-05 18:49:20,-22.09,-70.2,66.31,51,38,9.48
114,Namibe,AO,2020-10-05 18:49:20,-15.2,12.15,65.66,71,0,5.1
115,Biak,ID,2020-10-05 18:49:20,-0.91,122.88,77.07,76,100,4.12
116,Olafsvik,IS,2020-10-05 18:49:20,64.89,-23.71,42.73,74,100,8.41
117,Salalah,OM,2020-10-05 18:47:32,17.02,54.09,80.6,78,75,4.7
118,Iqaluit,CA,2020-10-05 18:49:20,63.75,-68.51,35.6,74,90,19.46
119,Saint Joseph,US,2020-10-05 18:46:09,39.77,-94.85,73.99,35,1,20.8
120,Qianan,CN,2020-10-05 18:49:21,44.99,124.06,42.22,70,8,4.07
121,Omsukchan,RU,2020-10-05 18:49:21,62.53,155.8,27.75,96,1,1.1
122,Imeni Poliny Osipenko,RU,2020-10-05 18:49:21,52.42,136.49,36.32,79,100,7.83
123,Knysna,ZA,2020-10-05 18:49:21,-34.04,23.05,57.2,100,0,2.24
124,Toamasina,MG,2020-10-05 18:49:22,-18.17,49.38,68.0,94,75,11.41
125,Shihezi,CN,2020-10-05 18:47:28,44.3,86.03,54.57,39,65,6.4
126,Turukhansk,RU,2020-10-05 18:49:23,65.82,87.98,24.91,98,76,4.92
127,Bolivar,US,2020-10-05 18:44:45,37.61,-93.41,69.01,42,0,13.11
128,Cherskiy,RU,2020-10-05 18:49:23,68.75,161.3,27.7,87,98,3.62
129,Bluff,NZ,2020-10-05 18:47:09,-46.6,168.33,48.99,75,73,18.99
