City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Garowe,SO,85.17,clear sky,8.41,48.48,Curubo Hotel
267,Saint-Georges,GD,84.2,broken clouds,12.06,-61.75,Siesta Hotel
270,Bayir,TR,75.2,few clouds,37.27,28.22,Buban Otel
271,Lorengau,PG,81.79,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
272,Pierre,US,77.0,clear sky,44.37,-100.35,Ramkota Hotel
273,Najran,SA,80.6,clear sky,17.49,44.13,محمد هادي ال فطيح
277,Samarai,PG,77.34,overcast clouds,-10.62,150.67,Nuli Sapi
287,Pachino,IT,75.0,clear sky,36.72,15.09,Il Veliero
291,Lakewood,US,79.0,few clouds,39.7,-105.08,"Motel 6 Lakewood, CO - Denver"
294,Wawa,NG,78.82,broken clouds,9.9,4.42,
297,Moroni,KM,76.82,broken clouds,-11.7,43.26,Hotel les Arcades
303,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
305,Auki,SB,76.96,overcast clouds,-8.77,160.7,Auki Motel
306,Nishihara,JP,77.0,scattered clouds,26.18,127.76,Minshuku Agaihama
307,Malanje,AO,76.68,overcast clouds,-9.54,16.34,Malanje Hotel
315,Carmen,MX,84.2,broken clouds,18.63,-91.83,Hotel Lossandes
317,Sao Jose Da Coroa Grande,BR,79.61,few clouds,-8.9,-35.15,Crôa Mares Hotel
318,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
320,Port-Gentil,GA,80.6,overcast clouds,-0.72,8.78,Fengshui Residence
336,Razole,IN,78.04,overcast clouds,16.48,81.83,Sterling Palavelli Godavari
338,Sibolga,ID,76.8,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
340,Oistins,BB,75.2,shower rain,13.07,-59.53,Butterfly Beach Hotel
341,Belmonte,BR,84.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
345,Pilar,BR,84.2,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
346,Mayumba,GA,77.27,overcast clouds,-3.43,10.66,LIKWALE LODGE
351,Takoradi,GH,78.1,overcast clouds,4.88,-1.76,Raybow International Hotel
352,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
356,Porto Novo,BJ,79.05,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
359,Mount Isa,AU,75.2,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
363,Mangrol,IN,81.28,overcast clouds,21.12,70.12,Hotel The Royal Honours
364,Tiarei,PF,80.01,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
372,Hirara,JP,77.85,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
373,Madre De Deus,BR,82.4,few clouds,-12.74,-38.62,Pousada Bella Madre
374,Puerto Carreno,CO,82.4,overcast clouds,6.19,-67.49,Casa Hotel Victoria
380,Vaitape,PF,78.31,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
384,Gelibolu,TR,80.01,few clouds,40.41,26.67,Oya Hotel
385,Sola,VU,79.88,light rain,-13.88,167.55,Leumerus Bungalows
387,Pimentel,PE,75.2,broken clouds,-6.84,-79.93,Casona Del Muelle
391,Monteagudo,BO,87.8,clear sky,-19.82,-63.98,"Residencial ""OLIVIA"""
392,Wenchi,GH,76.98,light rain,7.74,-2.1,Ebenezer Hotel
395,Bonthe,SL,79.75,overcast clouds,7.53,-12.51,Bonthe Holiday Village
397,Kutum,SD,85.05,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
403,Ta Khmau,KH,80.6,scattered clouds,11.48,104.95,Tra Ny Ka Hotel & Restaurant
406,Micheweni,TZ,77.22,clear sky,-4.97,39.83,
411,Port Keats,AU,80.6,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
414,Mwanza,TZ,76.51,clear sky,-2.52,32.9,Gold Crest Hotel
421,Benghazi,LY,83.21,overcast clouds,32.12,20.07,Tibesti Hotel
426,Thinadhoo,MV,82.17,overcast clouds,0.53,72.93,
434,Majene,ID,78.66,overcast clouds,-3.54,118.97,Kost Putri RABBANI
436,Bodden Town,KY,84.0,broken clouds,19.28,-81.25,Will T Place
441,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
442,Guanica,PR,86.0,clear sky,17.97,-66.91,Copamarina Beach Resort & Spa
448,Wajir,KE,88.07,clear sky,1.75,40.06,Al- Amin lodge
452,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
453,Havelock,US,75.99,broken clouds,34.88,-76.9,Sherwood Motel
468,Manta,EC,80.6,broken clouds,-0.95,-80.73,Balandra Hotel
470,Cururupu,BR,87.67,broken clouds,-1.83,-44.87,Pousada Través'cia
472,Khagaria,IN,82.78,broken clouds,25.5,86.48,Hotel Amol Nac
484,Namatanai,PG,78.22,scattered clouds,-3.67,152.43,Namatanai Hotel
485,Jalu,LY,86.72,clear sky,29.03,21.55,Jalu Hotel
489,Taxisco,GT,87.8,broken clouds,14.07,-90.46,HOSTAL LAS MARIAS
490,Praya,CV,84.2,few clouds,14.92,-23.51,LT Aparthotel
492,Madang,PG,75.56,light rain,-5.22,145.8,Comfort Inn Hotel
495,Kahului,US,75.0,clear sky,20.89,-156.47,Maui Seaside Hotel
496,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
499,Sompeta,IN,80.55,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
503,Sorong,ID,78.08,moderate rain,-0.88,131.25,The Waigo Hotel
507,Gosainganj,IN,78.24,scattered clouds,26.58,82.38,RAM PHOOL SWEETS
511,Pedasi,PA,82.71,broken clouds,7.53,-80.03,Selina Pedasi
512,Barreirinhas,BR,88.74,broken clouds,-2.75,-42.83,Gran Lençóis Flat Residence
513,Kalabo,ZM,85.21,scattered clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
515,Aquiraz,BR,87.8,few clouds,-3.9,-38.39,Hotel Laguna Blu
525,Jaguey Grande,CU,87.8,few clouds,22.53,-81.13,El Ranchon
527,Matadi,CD,83.66,scattered clouds,-5.82,13.45,Hotel Fortune
532,Wewak,PG,78.66,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
534,Bartica,GY,78.8,shower rain,6.4,-58.62,La Vista Hotel and Apartment
536,Igualada,ES,75.99,overcast clouds,41.58,1.62,América
537,Yaan,NG,77.95,overcast clouds,7.38,8.57,
539,Moyale,KE,78.66,few clouds,3.52,39.06,Latahzan guest house
545,Port Moresby,PG,77.0,broken clouds,-9.44,147.18,Lamana Hotel
548,Adiake,CI,78.8,thunderstorm,5.29,-3.3,Hotel Lagune
554,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
556,Vanimo,PG,77.97,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
557,Padang,ID,76.84,moderate rain,-0.95,100.35,Mercure Padang
560,Robertsport,LR,79.11,broken clouds,6.75,-11.37,Kwepunha Retreat
564,Clive,US,77.0,few clouds,41.6,-93.72,Valley West Inn
568,Montepuez,MZ,75.78,few clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
570,Alugan,PH,79.5,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
571,Virginia Beach,US,75.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
573,Merauke,ID,77.14,overcast clouds,-8.47,140.33,
578,Labuhan,ID,77.76,scattered clouds,-6.88,112.21,bador sepret
585,Kamina,CD,76.33,broken clouds,-8.74,24.99,Guest House la Grace
587,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
588,Jacareacanga,BR,87.49,broken clouds,-6.22,-57.75,Casa do Ian😎
590,Puerto Escondido,MX,86.0,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
593,Bandar-E Lengeh,IR,89.6,clear sky,26.56,54.88,کافی نت پارس
597,Springfield,US,77.0,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
598,Salina,US,80.01,clear sky,38.84,-97.61,Holiday Inn Express & Suites Salina
604,Kismayo,SO,79.23,few clouds,-0.36,42.55,Agan-Hotel
605,San Luis,AR,75.52,clear sky,-33.3,-66.34,Huarpes Hotel
606,Cam Ranh,VN,80.6,light rain,11.92,109.16,OYO 598 Peony Hotel
607,Caucaia,BR,87.8,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
609,Jacqueville,CI,78.8,thunderstorm,5.21,-4.41,Hotel Le Martin Pecheur
612,Sao Filipe,CV,79.36,few clouds,14.9,-24.5,Tortuga B&B
613,The Valley,AI,89.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
614,Nisia Floresta,BR,86.0,scattered clouds,-6.09,-35.21,Rancho Crepusculo
620,Chunhuhub,MX,77.92,light rain,19.55,-88.68,
