City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Kodiak,US,57.79,-152.41,46.4,65,1,6.93,clear sky
84,Jining,CN,35.41,116.58,53.38,44,95,4.21,light rain
85,Talnakh,RU,69.49,88.4,24.8,100,75,11.18,light snow
86,Kruisfontein,ZA,-34.0,24.73,60.01,88,0,3.58,clear sky
87,Faanui,PF,-16.48,-151.75,77.52,80,0,14.5,clear sky
88,Acari,PE,-15.43,-74.62,77.76,39,10,10.51,clear sky
89,Pultusk,PL,52.7,21.08,53.01,74,63,8.84,broken clouds
90,Zolotkovo,RU,55.53,41.11,52.36,59,76,7.14,broken clouds
91,Nanortalik,GL,60.14,-45.24,32.27,84,0,16.62,clear sky
92,Zhanaozen,KZ,43.3,52.8,47.77,40,0,11.48,clear sky
93,Shahreza,IR,32.03,51.88,56.07,40,56,3.06,broken clouds
94,Straubing,DE,48.88,12.57,54.0,10,100,7.74,light rain
95,Terney,RU,45.05,136.61,47.08,76,6,10.27,clear sky
96,Saint George,US,37.1,-113.58,68.0,10,1,2.66,clear sky
97,Umm Kaddadah,SD,13.6,26.69,93.67,27,45,4.45,scattered clouds
98,Tasiilaq,GL,65.61,-37.64,33.8,100,75,4.99,light rain
99,Vila Franca Do Campo,PT,37.72,-25.43,69.8,77,75,10.29,broken clouds
100,Soyo,AO,-6.13,12.37,76.82,80,26,11.16,scattered clouds
101,Longyearbyen,SJ,78.22,15.64,39.2,82,20,2.24,few clouds
102,Vila Velha,BR,-20.33,-40.29,93.2,49,0,14.99,clear sky
103,San Quintin,MX,30.48,-115.95,85.05,36,96,13.73,overcast clouds
104,Sorland,NO,67.67,12.69,53.6,81,17,11.41,few clouds
105,Balikpapan,ID,-1.27,116.83,78.19,88,100,6.8,overcast clouds
106,Vaini,TO,-21.2,-175.2,73.4,94,75,8.05,broken clouds
107,El Alto,PE,-4.27,-81.21,80.6,57,2,16.11,clear sky
108,Esperance,AU,-33.87,121.9,46.4,87,10,13.87,clear sky
109,Albany,US,42.6,-73.97,68.0,63,13,8.88,few clouds
110,Chimbote,PE,-9.09,-78.58,68.32,66,42,9.08,scattered clouds
111,Puerto Cabezas,NI,14.04,-83.39,84.2,83,75,5.44,haze
112,Hobart,AU,-42.88,147.33,42.01,93,0,6.93,clear sky
113,Castro,BR,-24.79,-50.01,92.46,23,0,4.56,clear sky
114,Kavaratti,IN,10.57,72.64,80.38,77,6,11.97,clear sky
115,Vardo,NO,70.37,31.11,48.2,81,75,19.46,broken clouds
116,Bilibino,RU,68.05,166.44,19.58,93,32,2.04,scattered clouds
117,Abapo,BO,-18.83,-63.47,101.75,17,0,16.31,clear sky
118,Murgab,TM,37.5,61.97,55.4,37,0,6.93,clear sky
119,Alcantara,BR,-2.41,-44.41,87.8,55,20,20.8,few clouds
120,Mul,IN,20.07,79.67,73.94,88,100,7.18,light rain
121,Khatanga,RU,71.97,102.5,12.13,97,31,4.56,scattered clouds
122,Cidreira,BR,-30.18,-50.21,64.54,68,0,12.21,clear sky
123,Skopelos,GR,39.12,23.72,78.01,44,100,1.01,overcast clouds
124,Nikolskoye,RU,59.7,30.79,55.4,87,90,6.71,overcast clouds
125,Darvel,GB,55.61,-4.28,54.0,87,75,11.41,broken clouds
126,Kirovskiy,RU,45.09,133.51,44.1,91,91,3.38,light rain
127,Geraldton,AU,-28.77,114.6,46.4,70,59,5.82,broken clouds
128,Yar-Sale,RU,66.83,70.83,34.03,88,100,20.58,overcast clouds
129,Dharchula,IN,29.85,80.53,61.21,51,0,3.6,clear sky
130,Tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,11.41,light rain
131,Esna,EG,25.29,32.55,89.6,35,0,3.36,clear sky
132,Kirakira,SB,-10.45,161.92,77.86,80,91,3.8,light rain
133,Meulaboh,ID,4.14,96.13,76.75,88,100,2.26,heavy intensity rain
134,Olinda,BR,-8.01,-34.86,84.2,66,20,13.87,few clouds
135,Murud,IN,18.33,72.97,78.48,87,49,2.26,scattered clouds
136,Cabo San Lucas,MX,22.89,-109.91,91.99,46,5,4.7,clear sky
137,Rybachiy,RU,48.71,44.74,50.0,46,40,8.95,scattered clouds
138,Ambon,ID,-3.7,128.18,79.0,14,100,3.6,light rain
139,Butaritari,KI,3.07,172.79,82.13,76,1,10.4,clear sky
140,Bandarbeyla,SO,9.49,50.81,77.83,87,0,11.12,clear sky
141,Bubaque,GW,11.28,-15.83,82.45,74,89,10.2,overcast clouds
142,Waingapu,ID,-9.66,120.26,75.13,68,16,3.89,few clouds
143,Saint-Francois,FR,46.42,3.91,57.0,79,100,3.0,overcast clouds
144,Syedove,UA,47.08,38.16,62.01,100,5,8.99,clear sky
145,Damietta,EG,31.42,31.81,80.6,74,0,14.99,clear sky
146,Clarence Town,AU,-32.58,151.78,64.0,100,90,5.82,overcast clouds
